362748.5447530200,35.0129289041,254.8346457494,4.8865805105,394.8611873011,1098.1161594900,124.2861066955,4199.2236500127,9.6468367527,66.1899853767,966.4898035814,432.2025052077,310.3216379951,1.5108893605,289.6557266118,577.7297134631,2342.6728175138,59.0566247479,6.7247980212,11.5947144668,2231.2120952655,861.3439057029,78.5313876973,1541.2158341617,12314.6348747167,6563.1543024519,0.8026118871,8.8591121718,7.4555242150,223.2298304478,44.4963550017,237.5413671818,50.9389345877,29.7084148536,23.1622182536,72.4132102494,112.8350410345,10.3861654346,8.3559922960,150.9911439851,244.6999291361,2857.4132385819,4221.1282342747,25830.0620735610
160.4029312123,112345.4469853480,845.5546526693,67.9449015504,148.5077997434,674.3571413111,2423.2051386967,331.9837952504,135.9666076600,1151.7066388966,13913.9906371066,309.8687766087,1156.0635858418,9.6117494416,233.2020321878,1874.6681788645,2191.4583079557,156.6993371831,427.1667169970,2251.3661342483,92.3995926359,146.6899334288,128.9122270357,3861.2884158624,490.5281470804,185.9823683109,10.4151247768,77.0463724087,21.1147437956,117.1176165718,131.7894080338,983.1457673666,169.3709753227,849.0108264819,176.1467777184,308.5726193812,365.3099273904,549.0046224845,696.8313243846,639.4039430151,313.3010259248,131.7947508675,2069.5150679744,4463.5200170434
241.4093488126,927.0651923676,175001.8400051470,31.4768929562,324.3702786945,346.9130341327,1731.3870824325,506.1741689022,46.7911973283,310.5737755237,17898.4060945842,1414.2285430339,2638.1124169782,31.7357270328,515.9480323273,15008.5377161135,5900.7529205999,341.6319958761,59.8590179351,441.3791241389,167.6807994369,350.9693060207,628.6646697487,4926.9143785769,931.8926635677,421.1508725223,29.7418909902,2218.9674525186,20.3400050588,323.9019550149,76.9405338316,9214.6185415197,464.2442411586,781.6067764364,576.2184938737,102.7977450086,461.1828520614,96.0220339988,76.1448072319,1445.8103428312,609.4689129030,264.0642709279,4651.5617024283,12988.0875427379
0.3119715380,11.9360166902,107.6720789662,11104.2101292737,0.9271311163,10.2691386880,3.1991408851,9.3090607051,1.7294224495,6.9048520803,70.7549588212,1.8988594227,24.7666730442,0.1293009033,2.2613458382,22.1467476693,12.5986235835,35.0259643626,1.4329081698,4.8474239926,1.4643101538,1.5724254640,0.6937868856,106.5345939436,1.2157584776,1.1043759840,0.1497148708,0.0734802555,0.2772020599,3.8088884233,2.3282550311,8.1189655509,0.9436707676,4.0117450833,3.6602898761,36.0972284558,14.3642479534,0.6171053821,3.3205874207,1.1428094484,82.3042021926,1.9062523562,26.9482974003,497.7386372689
190.1892121745,132.4969709867,990.6058088949,45.1681492190,480277.8493900300,637.3086044022,204.9841373368,1249.4769960530,4.5844213975,31.3362440144,1649.5637343487,426.1459046830,878.9357311577,2.3722292429,128.2846403892,1302.9279264461,1260.2129606783,113.0509684872,32.5920222942,100.0807276455,387.1078261031,1221.0831030623,92.8472088485,1671.2668421201,2249.5311104092,681.1345397266,6.2914683636,20.4810047501,0.5977660810,1571.4879043938,0.9824455645,1833.1359966897,318.5475677104,69.1800145288,353.2856956700,127.5774949368,423.0370522534,8.5660059153,66.0268463151,242.6507486195,268.0589604120,414.6015544339,8165.6677686275,11589.1630192756
907.7958155555,281.4992503895,929.9909710752,3.5873642312,622.9898349634,503848.6795134940,348.1534326313,1749.7895553561,13.3574129217,42.5183121939,2088.6934115615,256.4976516627,1063.8109107971,3.2086779830,220.9042780994,1491.3315571567,5942.3414428049,64.9337843783,27.8889791316,29.9251065175,428.3723003547,257.2658067414,561.3284211487,1486.9690576785,9373.9340720367,1753.1061082958,4.9702387285,14.7210842232,4.5079912574,1950.6402403138,19.6277505820,811.0691090811,231.7104835330,144.4913562876,117.9863414401,56.6185518807,135.5910085051,8.0978757420,12.9303569029,546.0086190433,351.6748068349,840.3035000915,126771.6880758470,18901.1436597538
536.6554808311,1990.6150923547,2117.3075214322,23.1229289783,426.6905474329,452.3001932504,203713.5032645250,354.5743249615,108.9156808604,197.9361348019,13535.6360627224,470.5228989396,2108.0886327282,14.8777297816,278.5878745863,4469.4527319873,5362.6141176800,435.6475615307,96.1549784418,228.9236399066,156.2207129142,1529.0141421976,1343.6871084426,4499.5832376973,1884.3745511395,528.4758604576,20.5002856293,1717.5367069825,25.5748291598,413.3515558080,35.4941702281,2543.4366190508,247.5044398092,432.7302867993,461.2194676418,71.7238652032,259.7184341325,80.5592221749,91.2355752915,1044.4734395883,428.4552652786,349.3661950249,4915.7353434066,15823.0053776449
1913.1103033097,220.7697818144,716.1016101335,19.1654446570,581.9101572341,2035.3288141862,367.8323429539,1883160.9358037600,19.2832197056,84.7056336238,4611.6002148521,454.9003301976,803.3099452006,5.3290648731,325.3548989389,2685.5841069106,2809.4480757693,112.3281006895,12.0374707053,324.2954821943,1612.2978326504,954.3614286795,126.5259537637,1499.6211163521,14369.5808454587,7254.6291485011,6.6767191590,511.7250324248,7.1708056274,1041.0424347647,23.7382074326,1610.0925673292,152.1872235956,227.3872997252,81.9397044971,75.8936423210,363.8526384537,15.4559360380,18.1713606904,457.8642003624,396.2357638224,3052.8868522186,14749.9114300251,49418.2635047182
0.3614521880,19.1034230301,1.9511859877,2.7134937196,0.1568477703,2.0345968395,4.5877296393,0.5278251685,5852.4560816546,15.8938105607,58.7570244335,16.4999429027,11.2180113902,0.8371077592,12.1362282447,28.1195037621,116.9123232116,131.1857905771,0.6937693381,12.6285334602,0.0322877617,0.4529183337,6.0990279552,85.0227470987,1.6820622541,0.5639079387,0.1198853761,3.3745434376,1.3012162449,0.5688327423,1.6596056585,323.6250610508,1.7545745980,0.3473450457,1.6025717212,1.4239691219,4.2474884243,1.0309098997,18.3631538987,68.8143801058,0.2165238520,0.2496884547,542.4784234967,529.2017038369
21.2723883288,1121.7545756650,304.8025235742,47.3438572309,24.3641522578,59.0423202693,220.8892094839,94.0424863328,34.7996632600,59836.1309701667,6135.8462313390,79.7508878692,233.4386390217,7.8097469505,75.3802055970,624.0131966842,513.7273253436,46.9924488609,83.0834167793,290.4713028724,6.1981065055,36.5963809814,64.4807630503,524.8034253960,67.3936044391,42.2502335268,19.3527207467,88.6401246510,33.1344084305,28.4243520970,0.7862978187,304.6654859429,51.0055082852,960.0458068478,45.3249518656,93.3341381155,273.0743403357,820.9317787998,141.3698858674,132.4843589608,59.0709723769,18.0326321271,709.4448725030,3426.7948619581
